manufacturer,productName,releaseYear,memSize,memBusWidth,gpuClock,memClock,bus,memType,G3Dmark
AMD,Radeon Pro WX 2100,2017,2.0,64,925,1500,PCIe 3.0 x8,GDDR5,1755
AMD,Radeon Pro WX 3100,2017,4.0,128,925,1500,PCIe 3.0 x8,GDDR5,2627
AMD,Radeon Pro WX 9100,2017,16.0,2048,1200,945,PCIe 3.0 x16,HBM2,13241
AMD,Radeon RX 550,2017,2.0,128,1100,1750,PCIe 3.0 x8,GDDR5,2718
AMD,Radeon RX 560,2017,4.0,128,1175,1750,PCIe 3.0 x8,GDDR5,3594
AMD,Radeon RX 580,2017,8.0,256,1257,2000,PCIe 3.0 x16,GDDR5,8907
AMD,Radeon RX Vega 56,2017,8.0,2048,1156,800,PCIe 3.0 x16,HBM2,13636
AMD,Radeon RX Vega 64,2017,8.0,2048,1247,945,PCIe 3.0 x16,HBM2,14636
AMD,Radeon Vega Frontier Edition,2017,16.0,2048,1382,945,PCIe 3.0 x16,HBM2,13748
NVIDIA,TITAN V,2017,12.0,3072,1200,848,PCIe 3.0 x16,HBM2,18816
NVIDIA,TITAN Xp,2017,12.0,384,1405,1426,PCIe 3.0 x16,GDDR5X,19508
AMD,FirePro S7150,2016,8.0,256,920,1250,PCIe 3.0 x16,GDDR5,6276
NVIDIA,GeForce 920MX,2016,2.0,64,965,900,PCIe 3.0 x8,DDR3,1088
NVIDIA,GeForce 930MX,2016,2.0,64,952,900,PCIe 3.0 x8,DDR3,1302
NVIDIA,GeForce 940MX,2016,2.0,64,1004,1001,PCIe 3.0 x8,DDR3,1503
NVIDIA,GeForce 940MX,2016,2.0,64,795,1253,PCIe 3.0 x8,GDDR5,1503
NVIDIA,GeForce 940MX,2016,1.024,64,954,1253,PCIe 3.0 x8,GDDR5,1503
NVIDIA,GeForce 945M,2016,1.024,64,1006,1001,PCIe 3.0 x8,DDR3,1945
NVIDIA,GeForce 945M,2015,2.0,128,928,900,MXM-B (3.0),DDR3,1945
NVIDIA,GeForce GT 710,2016,1.024,64,810,898,PCIe 2.0 x16,DDR3,637
NVIDIA,GeForce GT 710,2014,2.0,64,954,900,PCIe 2.0 x8,DDR3,637
NVIDIA,GeForce GT 710,2014,2.0,64,954,900,PCIe 2.0 x8,DDR3,637
NVIDIA,GeForce GTX 1050,2016,2.0,128,1354,1752,PCIe 3.0 x16,GDDR5,5090
NVIDIA,GeForce GTX 1050 Ti,2016,4.0,128,1291,1752,PCIe 3.0 x16,GDDR5,6314
NVIDIA,GeForce GTX 1070,2016,8.0,256,1506,2002,PCIe 3.0 x16,GDDR5,13482
NVIDIA,GeForce GTX 1080,2016,8.0,256,1607,1251,PCIe 3.0 x16,GDDR5X,15265
NVIDIA,GeForce GTX 965M,2016,2.0,128,935,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,4.0,128,935,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,2.0,128,924,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GeForce GTX 965M,2015,2.0,128,540,1253,MXM-B (3.0),GDDR5,3824
NVIDIA,GRID M10-8Q,2016,8.0,128,1033,1300,PCIe 3.0 x16,GDDR5,2606
NVIDIA,Quadro GP100,2016,16.0,4096,1304,715,PCIe 3.0 x16,HBM2,16203
NVIDIA,Quadro M2000,2016,4.0,128,796,1653,PCIe 3.0 x16,GDDR5,3942
NVIDIA,Quadro M500M,2016,2.0,64,1029,900,MXM-A (3.0),DDR3,1098
NVIDIA,Quadro P5000,2016,16.0,256,1607,1127,PCIe 3.0 x16,GDDR5X,11976
NVIDIA,Quadro P6000,2016,24.0,384,1506,1127,PCIe 3.0 x16,GDDR5X,15811
AMD,Radeon Pro 450,2016,2.0,128,800,1270,PCIe 3.0 x8,GDDR5,2723
AMD,Radeon Pro 455,2016,2.0,128,855,1270,PCIe 3.0 x8,GDDR5,3113
AMD,Radeon Pro 460,2016,4.0,128,850,1270,PCIe 3.0 x8,GDDR5,3453
AMD,Radeon Pro Duo,2016,4.0,4096,1000,500,PCIe 3.0 x16,HBM,8324
AMD,Radeon Pro WX 4100,2016,4.0,128,1125,1500,PCIe 3.0 x8,GDDR5,3766
AMD,Radeon Pro WX 5100,2016,8.0,256,713,1250,PCIe 3.0 x16,GDDR5,5511
AMD,Radeon Pro WX 7100,2016,8.0,256,1188,1750,PCIe 3.0 x16,GDDR5,7822
AMD,Radeon R5 M420,2016,4.0,64,780,1000,PCIe 3.0 x8,DDR3,470
AMD,Radeon R5 M430,2016,4.0,64,1030,900,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M430,2016,4.0,64,780,1000,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M430,2016,2.0,64,780,1125,PCIe 3.0 x8,DDR3,649
AMD,Radeon R5 M435,2016,2.0,64,780,1125,PCIe 3.0 x8,GDDR5,796
AMD,Radeon R7 M440,2016,4.0,64,891,900,PCIe 3.0 x8,DDR3,862
AMD,Radeon R7 M445,2016,4.0,64,780,1000,PCIe 3.0 x8,GDDR5,913
AMD,Radeon R7 M460,2016,2.0,64,1100,900,PCIe 3.0 x8,DDR3,1038
AMD,Radeon R7 M465,2016,2.0,64,1100,900,PCIe 3.0 x8,DDR3,965
AMD,Radeon R7 M465,2016,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,965
AMD,Radeon R7 M465X,2016,2.0,128,900,1125,PCIe 3.0 x16,GDDR5,1624
AMD,Radeon R9 M470,2016,4.0,128,900,1500,PCIe 3.0 x16,GDDR5,2288
AMD,Radeon R9 M470X,2016,4.0,128,1000,1500,PCIe 3.0 x16,GDDR5,3400
AMD,Radeon R9 M485X,2016,8.0,256,723,1250,MXM-B (3.0),GDDR5,3204
AMD,Radeon RX 460,2016,2.0,128,1090,1750,PCIe 3.0 x8,GDDR5,4114
AMD,Radeon RX 480,2016,8.0,256,1120,2000,PCIe 3.0 x16,GDDR5,8674
NVIDIA,Tesla M10,2016,8.0,128,1033,1300,PCIe 3.0 x16,GDDR5,3490
AMD,FirePro W4170M,2015,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,953
AMD,FirePro W4170M,2014,2.0,128,825,1000,PCIe 3.0 x8,GDDR5,953
AMD,FirePro W4300,2015,4.0,128,930,1500,PCIe 3.0 x16,GDDR5,2863
AMD,FirePro W5130M,2015,2.0,128,900,1000,PCIe 3.0 x16,GDDR5,1341
AMD,FirePro W6150M,2015,4.0,128,1075,1375,MXM-B (3.0),GDDR5,1515
AMD,FirePro W7170M,2015,4.0,256,723,1250,PCIe 3.0 x16,GDDR5,3162
NVIDIA,GeForce 710A,2015,2.0,128,810,901,PCIe 3.0 x16,DDR3,451
NVIDIA,GeForce 710A,2014,1.024,64,719,900,PCIe 3.0 x8,DDR3,451
NVIDIA,GeForce 710A,2013,2.0,64,775,900,PCIe 2.0 x16,DDR3,451
NVIDIA,GeForce 810M,2015,2.0,64,835,900,PCIe 3.0 x16,DDR3,402
NVIDIA,GeForce 810M,2014,1.024,64,738,900,PCIe 2.0 x16,DDR3,402
NVIDIA,GeForce 820M,2015,2.0,128,810,901,PCIe 3.0 x16,DDR3,511
NVIDIA,GeForce 820M,2013,1.024,64,625,900,PCIe 2.0 x16,DDR3,511
NVIDIA,GeForce 845M,2015,2.0,64,863,1001,PCIe 3.0 x16,DDR3,1430
NVIDIA,GeForce 845M,2015,2.0,64,1071,1253,PCIe 3.0 x8,GDDR5,1430
NVIDIA,GeForce 910M,2015,2.0,64,641,1001,PCIe 3.0 x8,DDR3,578
NVIDIA,GeForce 920A,2015,2.0,64,954,1001,PCIe 3.0 x8,DDR3,872
NVIDIA,GeForce 920M,2015,2.0,64,954,900,PCIe 3.0 x8,DDR3,723
